chw_id,parent_id,with_errors,total_assessments,percent_without_errors
fda753c1c37ef32fba0138a4c7c192b1,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,17,48,64.58
4cafc8da-c840-42a7-b2f8-7ecaaf948a00,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,39,60,35.00
28469b00-90b5-46d2-80f3-c5ec043597db,97098475271077c8491974685dd13b10,125,140,10.71
fda753c1c37ef32fba0138a4c7c44673,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,14,52,73.08
fda753c1c37ef32fba0138a4c7858d30,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,26,31,16.13
a597fede-c3f0-4d0d-98e2-bccc5bc1a587,3e6b4c97-54ac-4d60-b403-364260b39de3,44,175,74.86
a742fff1-7ba4-43bb-9ab1-ec602781f6c9,3dadbc54-2444-4048-9791-ca0b9198374c,217,431,49.65
db91e797f2ce030419456e90ab79fb69,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,11,17,35.29
852b7879-a095-46dc-8c88-35742df99700,89815018-aab6-46e5-8d4e-5d73bb620542,235,305,22.95
570ea8dc-141d-48a9-99fb-02f923f15a7a,ee0449d5-b897-44d9-b8c0-b88392a01d20,130,229,43.23
706cafa2-15a9-4839-b4df-c8f8b9f25ba0,968bff34-60bc-4d7d-b8e8-a65ece0f3e99,227,304,25.33
fda753c1c37ef32fba0138a4c793d120,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,24,62.50
c27a0584-b106-469e-b0b7-538b72fd1bb4,5957af84-cc24-4cd1-96f2-9ba17f8b30cd,176,248,29.03
4ea5566a-45c1-4033-aca5-e1a6ed8bd35b,66111520-d79e-462a-acd5-eebe93cbccbc,60,65,7.69
8bb746d5-a143-4cab-a786-b32512cfa972,df563820-46bf-478d-b2ac-96e8f1f98e18,86,115,25.22
00499112-ebe5-4dab-8eb4-5d35cd73450b,da21c557-c768-4540-a8ac-28a1df06e350,101,132,23.48
cebc5a8b-c659-4d72-bb56-184113c420c0,02ab35ec-cf9b-464e-8805-f2265a2f4a1a,554,736,24.73
fc51ae11-71c9-4b63-88ac-9f79bdff16b5,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,19,35,45.71
fda753c1c37ef32fba0138a4c7c06437,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,36,67,46.27
1e80f0b6-209e-475e-8d81-0918996c1a60,97098475271077c8491974685dd104e0,53,77,31.17
4ad43fd0-107c-4f32-916b-0dec59300de6,ce8be1b7-dabf-484a-9535-3e7bed4907d0,262,310,15.48
986b83e0-4224-4ae3-a24e-2ebdd90469b9,74a7f78eef4f8baa9de4e11cd2a4c032,207,217,4.61
